Day,HomeTeam,AwayTeam,Weight
132,19,24,0.4916847999999999
132,4,27,0.27604599999999996
132,5,28,0.4449879
132,23,29,0.3396548
133,15,9,0.080197
133,4,19,0.051659
133,29,25,0.02909
133,22,30,0.065046
134,1,10,0.47599079999999994
134,2,16,0.4310304
134,6,23,0.31455599999999995
134,27,26,0.2107356
135,28,3,0.2794755
135,20,4,0.3992565
135,7,8,0.46434
135,24,12,0.3734865
135,25,13,0.28222650000000005
135,1,17,0.2937135
135,11,18,0.3219075
135,15,21,0.25957050000000004
135,14,22,0.677109
135,5,29,0.23898149999999999
136,27,2,0.5155738
136,19,10,0.5277831999999999
136,6,23,0.3669819999999999
136,16,26,0.23315319999999998
137,4,3,0.35438859999999994
137,28,8,0.41403219999999996
137,21,9,0.35321559999999996
137,1,11,0.3427897
137,19,13,0.48025149999999994
137,25,14,1.0158111
137,17,15,0.42997349999999995
137,20,22,0.6478295
137,29,24,0.42656029999999995
137,12,30,0.25568179999999996
138,6,2,1.0037196
138,11,7,0.6883526000000001
138,14,8,1.451918
138,26,10,1.0560758000000001
138,23,16,0.6117201999999999
138,5,17,0.7428616000000001
138,12,18,0.5161286
138,3,21,0.6881238
138,13,24,0.8957598000000001
138,20,27,0.9384206
139,4,2,0.6290683999999999
139,22,5,0.4064813
139,29,7,0.4257898
139,6,9,0.3577167
139,1,15,0.24963279999999996
139,10,16,1.0034302
139,19,23,0.4047793
139,26,25,0.19917769999999999
139,27,28,0.35018879999999997
139,18,30,0.37073239999999996
140,29,15,0.060551
140,22,25,0.046499
140,4,28,0.057496
140,9,30,0.067282
141,19,5,0.22516319999999998
141,18,8,0.3112968
141,6,13,0.3539328
141,14,26,0.589806
142,1,2,0.4793655
142,3,4,0.231123
142,17,9,0.2512035
142,29,10,0.5230095
142,20,12,0.4916775
142,11,16,0.282981
142,15,21,0.25957050000000004
142,7,24,0.523737
142,22,27,0.20327099999999998
142,23,30,0.2608245
143,5,8,0.39725699999999997
143,18,13,0.4116588
143,26,14,0.688107
143,6,28,0.23804759999999997
144,20,1,0.7181542999999999
144,30,2,0.6849376999999999
144,21,4,0.31243429999999994
144,11,15,0.3224025
144,9,16,0.2959525
144,12,22,0.23544869999999998
144,29,23,0.3396548
144,25,24,0.4441805999999999
144,19,27,0.33676369999999994
144,3,28,0.4285291
145,10,2,1.5569762
145,5,6,0.7118176
145,12,11,0.42791840000000003
145,3,13,0.8091902
145,23,16,0.6117201999999999
145,17,20,1.0156874
145,14,21,1.4208818
145,8,24,0.805727
145,18,26,0.500474
145,7,27,0.7326852
146,30,5,0.42671669999999995
146,1,7,0.5361576
146,9,8,0.3806707
146,19,10,0.8670723999999999
146,22,13,0.45516999999999996
146,4,14,1.0025975999999999
146,15,18,0.4004369
146,17,25,0.3576132
146,28,26,0.26010469999999997
146,6,29,0.3125309
147,4,15,0.062466
147,19,22,0.067153
147,29,25,0.02909
147,9,30,0.067282
148,12,1,0.1595328
148,27,3,0.2986092
148,18,8,0.3112968
148,20,17,0.4687788
149,7,2,0.6529334999999999
149,4,5,0.2418555
149,24,9,0.3076605
149,23,10,0.7123815
149,6,15,0.2625075
149,1,16,0.23552249999999997
149,13,19,0.31320749999999997
149,21,25,0.21237899999999998
149,11,26,0.23784300000000003
149,14,29,0.650994
150,3,17,0.38998399999999994
150,8,18,0.36317959999999994
150,28,20,0.4177684
150,12,27,0.25428759999999995
151,16,1,0.36113449999999997
151,26,4,0.18596419999999997
151,30,5,0.42671669999999995
151,25,6,0.3301512
151,9,10,0.8471359999999999
151,11,15,0.3224025
151,14,19,1.0633153
151,24,22,0.46660329999999994
151,21,28,0.3865771
151,2,29,0.6246615999999999
152,23,2,1.0343814
152,21,3,0.6881238
152,17,5,0.7428616000000001
152,18,6,0.648531
152,11,7,0.6883526000000001
